year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,geoID,pais
2020,11.19,46.75,38.7,16.58,78.69,122.05,79.69,40.94,52.81,69.02,21.61,55.0,RO,Rumania
2016,190.87,108.01,97.36,90.42,65.97,110.15,80.85,75.36,100.21,61.94,113.78,77.96,GB,Reino Unido
2017,83.02,98.14,102.13,30.26,63.88,115.65,101.97,108.91,131.65,88.7,115.35,123.45,GB,Reino Unido
2018,139.61,68.73,131.42,89.4,54.7,34.02,59.8,82.08,95.65,105.98,131.81,124.25,GB,Reino Unido
2019,63.14,72.24,122.48,55.08,68.2,117.0,81.76,120.63,131.78,151.28,155.24,131.75,GB,Reino Unido
2020,103.76,199.19,70.46,32.3,27.61,101.05,96.98,126.9,81.55,205.09,92.96,184.72,GB,Reino Unido
2016,67.09,113.1,80.16,56.95,43.73,51.82,77.34,81.32,180.47,159.24,158.78,174.43,IS,Islandia
2017,107.62,136.51,68.08,122.71,122.15,67.06,55.24,67.07,157.94,79.0,111.59,76.88,IS,Islandia
2018,111.71,155.74,75.14,68.87,144.17,81.47,117.37,86.47,107.09,136.87,157.63,107.35,IS,Islandia
2019,122.6,114.09,98.45,52.92,43.0,32.15,97.88,103.72,143.98,127.7,51.55,86.49,IS,Islandia
2020,146.5,111.6,97.7,73.7,46.95,76.05,63.97,110.33,139.59,100.93,93.72,97.77,IS,Islandia
2016,81.19,87.26,73.72,66.95,52.2,72.87,104.41,134.16,91.47,56.94,104.74,158.58,NO,Noruega
2017,124.98,87.07,92.68,80.97,57.33,86.5,106.37,152.59,77.14,156.14,128.47,149.84,NO,Noruega
2018,102.41,46.52,55.99,54.62,39.54,80.0,37.23,127.29,173.71,134.51,84.79,103.55,NO,Noruega
2019,96.54,106.37,121.08,24.89,82.42,106.98,64.64,123.79,140.88,115.1,81.7,149.75,NO,Noruega
2020,169.22,119.67,118.13,70.23,66.17,66.54,127.03,92.57,124.12,137.57,127.74,110.67,NO,Noruega
